id,month,year,production
34,1,2021,233803.19
34,2,2021,207276.96
34,3,2021,192976.14
34,4,2021,194975.88
280,1,2021,185714.45
280,2,2021,173574.06
280,3,2021,194784.42
280,4,2021,214436.34
90,1,2021,226271.43
90,2,2021,207004.65
90,3,2021,209445.38
90,4,2021,221462.95
251,1,2021,138665.81
251,2,2021,130736.83
251,3,2021,136344.32
251,4,2021,134941.86
202,1,2021,462119.12
202,2,2021,421462.16
202,3,2021,443263.49
202,4,2021,444070.43
69,1,2021,269830.11
69,2,2021,241382.33
69,3,2021,265988.11
69,4,2021,243652.49
154,1,2021,133648.35
154,2,2021,115024.24
154,3,2021,128233.08
154,4,2021,137871.86
82,1,2021,137329.36
82,2,2021,113276.13
82,3,2021,125176.54
82,4,2021,141755.85
56,1,2021,110621.47
56,2,2021,110361.12
56,3,2021,123377.65
56,4,2021,125555.91
282,1,2021,135320.48
282,2,2021,122256.47
282,3,2021,131381.75
282,4,2021,133526.13
114,1,2021,72155.98
114,2,2021,62179.4
114,3,2021,73308.98
114,4,2021,73885.48
186,1,2021,202550.29
186,2,2021,182115.82
186,3,2021,191498.0
186,4,2021,201783.71
229,1,2021,196076.45
229,2,2021,174297.09
229,3,2021,190027.89
229,4,2021,181125.15
234,1,2021,56798.5
234,2,2021,46826.33
234,3,2021,60796.7
234,4,2021,61931.9
201,1,2021,173387.86
201,2,2021,151067.35
201,3,2021,173180.78
201,4,2021,178328.53
220,1,2021,432790.23
220,2,2021,364036.29
220,3,2021,398425.93
220,4,2021,390154.08
227,1,2021,787923.55
227,2,2021,706922.44
227,3,2021,728998.81
227,4,2021,706332.76
105,1,2021,245891.32
105,2,2021,219067.37
105,3,2021,217257.01
105,4,2021,238836.0
193,1,2021,346906.16
193,2,2021,294908.77
193,3,2021,258052.21
193,4,2021,261571.23
239,1,2021,158728.75
239,2,2021,134103.57
239,3,2021,144754.01
239,4,2021,154620.55
39,1,2021,278367.67
39,2,2021,239745.2
39,3,2021,231867.9
39,4,2021,271645.61
188,1,2021,225374.08
188,2,2021,187307.93
188,3,2021,207799.56
188,4,2021,208536.76
248,1,2021,344651.25
248,2,2021,307010.89
248,3,2021,340555.8
248,4,2021,290750.87
57,1,2021,82058.68
57,2,2021,73098.31
57,3,2021,78541.9
57,4,2021,85513.18
225,1,2021,82058.68
225,2,2021,73098.31
225,3,2021,78541.9
225,4,2021,85513.18
208,1,2021,262282.97
208,2,2021,230023.22
208,3,2021,254921.97
208,4,2021,241482.7
228,1,2021,197138.35
228,2,2021,186275.12
228,3,2021,182581.46
228,4,2021,167977.59
111,1,2021,308499.3
111,2,2021,254033.46
111,3,2021,227945.17
111,4,2021,298624.34
265,1,2021,364554.94
265,2,2021,350468.91
265,3,2021,363175.29
265,4,2021,347444.11
120,1,2021,269695.83
120,2,2021,262735.86
120,3,2021,239445.09
120,4,2021,236817.78
176,1,2021,63302.18
176,2,2021,50115.3
176,3,2021,50268.86
176,4,2021,60983.59
68,1,2021,93048.34
68,2,2021,87570.97
68,3,2021,87567.66
68,4,2021,88827.6
262,1,2021,44337.32
262,2,2021,39978.75
262,3,2021,48597.47
262,4,2021,49800.59
159,1,2021,189739.15
159,2,2021,170361.87
159,3,2021,196509.09
159,4,2021,193918.96
130,1,2021,89605.56
130,2,2021,79930.56
130,3,2021,88618.06
130,4,2021,91337.74
207,1,2021,278808.92
207,2,2021,253034.88
207,3,2021,304306.2
207,4,2021,309788.99
24,1,2021,101772.6
24,2,2021,84359.21
24,3,2021,95436.58
24,4,2021,76874.37
135,1,2021,433903.2
135,2,2021,413538.06
135,3,2021,433739.65
135,4,2021,389864.24
231,1,2021,76757.23
231,2,2021,69142.55
231,3,2021,62723.86
231,4,2021,73497.56
143,1,2021,243023.63
143,2,2021,221620.15
143,3,2021,229143.14
143,4,2021,212618.82
43,1,2021,69196.09
43,2,2021,59872.34
43,3,2021,67272.93
43,4,2021,56428.79
157,1,2021,245280.21
157,2,2021,217651.03
157,3,2021,251294.42
157,4,2021,245675.77
181,1,2021,156039.92
181,2,2021,141306.32
181,3,2021,159895.1
181,4,2021,144606.12
258,1,2021,512923.9
258,2,2021,469923.63
258,3,2021,503346.53
258,4,2021,466850.36
40,1,2021,168192.43
40,2,2021,151246.66
40,3,2021,169377.07
40,4,2021,157214.42
70,1,2021,153834.84
70,2,2021,153860.94
70,3,2021,142921.0
70,4,2021,142947.1
246,1,2021,169483.8
246,2,2021,156686.11
246,3,2021,168007.22
246,4,2021,121860.08
283,1,2021,307530.62
283,2,2021,283802.06
283,3,2021,251536.49
283,4,2021,260471.23
20,1,2021,31372.5
20,2,2021,33616.64
20,3,2021,28670.08
20,4,2021,23446.96
2,1,2021,71296.01
2,2,2021,65080.16
2,3,2021,53393.95
2,4,2021,70833.67
133,1,2021,150058.72
133,2,2021,103638.97
133,3,2021,116423.37
133,4,2021,127037.99
256,1,2021,455600.97
256,2,2021,396724.26
256,3,2021,352399.72
256,4,2021,445411.34
8,1,2021,696780.34
8,2,2021,639274.45
8,3,2021,699410.41
8,4,2021,659103.63
172,1,2021,97701.32
172,2,2021,80139.43
172,3,2021,94972.73
172,4,2021,102792.65
44,1,2021,204409.53
44,2,2021,180050.48
44,3,2021,196591.94
44,4,2021,206028.61
93,1,2021,74133.5
93,2,2021,58821.46
93,3,2021,70850.89
93,4,2021,80744.27
45,1,2021,55113.46
45,2,2021,58483.46
45,3,2021,68080.12
45,4,2021,65878.89
25,1,2021,57933.28
25,2,2021,44933.51
25,3,2021,52601.76
25,4,2021,61561.76
259,1,2021,262950.55
259,2,2021,222241.34
259,3,2021,213704.14
259,4,2021,211088.17
145,1,2021,339231.19
145,2,2021,306383.5
145,3,2021,292453.47
145,4,2021,264445.18
163,1,2021,249390.37
163,2,2021,198811.52
163,3,2021,296647.4
163,4,2021,300037.54
136,1,2021,56744.42
136,2,2021,46439.96
136,3,2021,51461.9
136,4,2021,54951.2
264,1,2021,173247.81
264,2,2021,170227.9
264,3,2021,168895.26
264,4,2021,170374.73
165,1,2021,123314.99
165,2,2021,112616.36
165,3,2021,116526.77
165,4,2021,127052.58
164,1,2021,198605.31
164,2,2021,188003.38
