id,month,year,production
34,1,2021,233570.98
34,2,2021,208705.41
34,3,2021,183994.68
34,4,2021,185770.55
280,1,2021,167239.62
280,2,2021,161770.44
280,3,2021,206198.64
280,4,2021,210741.05
90,1,2021,227189.04
90,2,2021,229818.8
90,3,2021,229381.06
90,4,2021,227947.58
251,1,2021,171767.33
251,2,2021,166706.45
251,3,2021,173571.72
251,4,2021,175720.71
202,1,2021,477287.13
202,2,2021,423413.15
202,3,2021,426127.21
202,4,2021,435385.08
69,1,2021,282061.85
69,2,2021,202683.94
69,3,2021,283640.7
69,4,2021,201222.83
154,1,2021,132842.02
154,2,2021,101723.8
154,3,2021,104315.44
154,4,2021,133437.39
82,1,2021,142948.29
82,2,2021,109478.94
82,3,2021,118719.28
82,4,2021,140088.41
56,1,2021,103305.89
56,2,2021,106185.31
56,3,2021,119383.21
56,4,2021,119730.39
282,1,2021,134135.03
282,2,2021,124419.23
282,3,2021,128762.38
282,4,2021,127948.63
114,1,2021,69773.84
114,2,2021,65408.33
114,3,2021,72220.98
114,4,2021,71194.74
186,1,2021,194346.66
186,2,2021,185282.06
186,3,2021,193094.82
186,4,2021,204889.07
229,1,2021,217303.13
229,2,2021,211980.65
229,3,2021,211082.9
229,4,2021,208990.45
234,1,2021,52819.92
234,2,2021,49178.42
234,3,2021,58424.43
234,4,2021,59237.16
201,1,2021,173752.72
201,2,2021,144773.39
201,3,2021,173070.94
201,4,2021,180227.61
220,1,2021,417662.82
220,2,2021,366057.58
220,3,2021,401698.07
220,4,2021,403835.29
227,1,2021,801652.83
227,2,2021,743525.13
227,3,2021,753151.94
227,4,2021,741215.02
105,1,2021,218027.66
105,2,2021,202474.43
105,3,2021,201466.89
105,4,2021,239120.59
193,1,2021,343318.01
193,2,2021,330852.07
193,3,2021,272172.5
193,4,2021,271154.23
239,1,2021,175626.44
239,2,2021,135229.83
239,3,2021,151952.35
239,4,2021,167904.4
39,1,2021,278005.75
39,2,2021,236302.13
39,3,2021,231170.7
39,4,2021,257342.49
188,1,2021,264286.3
188,2,2021,194570.89
188,3,2021,222656.07
188,4,2021,217373.83
248,1,2021,348726.84
248,2,2021,300551.96
248,3,2021,342086.22
248,4,2021,267562.5
57,1,2021,72558.25
57,2,2021,68880.46
57,3,2021,74259.32
57,4,2021,75744.95
225,1,2021,72558.25
225,2,2021,68880.46
225,3,2021,74259.32
225,4,2021,75744.95
208,1,2021,242594.41
208,2,2021,231760.4
208,3,2021,246915.39
208,4,2021,246002.96
228,1,2021,187206.9
228,2,2021,176928.72
228,3,2021,172371.47
228,4,2021,174908.92
111,1,2021,295489.39
111,2,2021,256099.74
111,3,2021,238184.28
111,4,2021,297034.51
265,1,2021,331752.64
265,2,2021,328607.28
265,3,2021,330543.57
265,4,2021,332830.98
120,1,2021,262311.55
120,2,2021,243927.21
120,3,2021,230380.5
120,4,2021,230828.52
176,1,2021,64473.92
176,2,2021,50297.14
176,3,2021,50303.77
176,4,2021,64058.11
68,1,2021,83403.4
68,2,2021,77999.29
68,3,2021,75597.83
68,4,2021,77637.15
262,1,2021,42088.58
262,2,2021,40232.4
262,3,2021,47774.31
262,4,2021,48638.05
159,1,2021,180064.55
159,2,2021,168187.19
159,3,2021,186271.89
159,4,2021,183865.82
130,1,2021,90697.15
130,2,2021,76979.13
130,3,2021,92567.91
130,4,2021,91766.77
207,1,2021,196091.24
