id,month,year,production
34,1,2021,226421.52
34,2,2021,199469.57
34,3,2021,184567.18
34,4,2021,185730.87
280,1,2021,178609.16
280,2,2021,166901.77
280,3,2021,188412.1
280,4,2021,208370.21
90,1,2021,221639.38
90,2,2021,202270.83
90,3,2021,204012.21
90,4,2021,215066.78
251,1,2021,149254.23
251,2,2021,140763.49
251,3,2021,147666.56
251,4,2021,146597.83
202,1,2021,466735.99
202,2,2021,425708.39
202,3,2021,446761.06
202,4,2021,446946.41
69,1,2021,262904.98
69,2,2021,233947.95
69,3,2021,257855.79
69,4,2021,234989.18
154,1,2021,132378.23
154,2,2021,113686.82
154,3,2021,126284.11
154,4,2021,135372.38
82,1,2021,133847.13
82,2,2021,110725.31
82,3,2021,121793.15
82,4,2021,137310.34
56,1,2021,112662.58
56,2,2021,112027.3
56,3,2021,125116.48
56,4,2021,127002.01
282,1,2021,132803.52
282,2,2021,120114.83
282,3,2021,128485.0
282,4,2021,130229.91
114,1,2021,72223.86
114,2,2021,62547.77
114,3,2021,73505.31
114,4,2021,74146.04
186,1,2021,190850.01
186,2,2021,173508.2
186,3,2021,180735.7
186,4,2021,188707.74
229,1,2021,192334.22
229,2,2021,170213.75
229,3,2021,186849.07
229,4,2021,178032.83
234,1,2021,56394.02
234,2,2021,46500.01
234,3,2021,60472.94
234,4,2021,61651.23
201,1,2021,173202.06
201,2,2021,151517.76
201,3,2021,172597.32
201,4,2021,177348.86
220,1,2021,414859.26
220,2,2021,345393.18
220,3,2021,379699.79
220,4,2021,371084.7
227,1,2021,786088.28
227,2,2021,702520.45
227,3,2021,722772.18
227,4,2021,697959.38
105,1,2021,245863.38
105,2,2021,217964.9
105,3,2021,215786.71
105,4,2021,237658.69
193,1,2021,352710.36
193,2,2021,296197.33
193,3,2021,256375.56
193,4,2021,261063.82
239,1,2021,155457.22
239,2,2021,131012.32
239,3,2021,141711.84
239,4,2021,151630.38
39,1,2021,275720.09
39,2,2021,236949.89
39,3,2021,228538.62
39,4,2021,267183.7
188,1,2021,251136.58
188,2,2021,186720.3
188,3,2021,218718.71
188,4,2021,218191.68
248,1,2021,340101.29
248,2,2021,302438.33
248,3,2021,335106.97
248,4,2021,285425.32
57,1,2021,68594.25
57,2,2021,61278.08
57,3,2021,65420.47
57,4,2021,70778.15
225,1,2021,68594.25
225,2,2021,61278.08
225,3,2021,65420.47
225,4,2021,70778.15
208,1,2021,257826.58
208,2,2021,222663.78
208,3,2021,248633.05
208,4,2021,233599.1
228,1,2021,181971.53
228,2,2021,172013.76
228,3,2021,168635.07
228,4,2021,155244.74
111,1,2021,307538.23
111,2,2021,252423.94
111,3,2021,226124.63
111,4,2021,298084.39
265,1,2021,358323.86
265,2,2021,343960.33
265,3,2021,356898.82
265,4,2021,340858.86
120,1,2021,265919.2
120,2,2021,257599.35
120,3,2021,232545.41
120,4,2021,228665.21
176,1,2021,61499.68
176,2,2021,50151.29
176,3,2021,50741.69
176,4,2021,60783.62
68,1,2021,100161.63
68,2,2021,94046.95
68,3,2021,93849.15
68,4,2021,95016.78
262,1,2021,44478.16
262,2,2021,40217.33
262,3,2021,48508.36
262,4,2021,49626.9
159,1,2021,186136.6
159,2,2021,167763.81
159,3,2021,191905.42
159,4,2021,189209.81
130,1,2021,90837.17
130,2,2021,81100.69
130,3,2021,89573.24
130,4,2021,92127.85
207,1,2021,275039.48
207,2,2021,251667.63
207,3,2021,300069.7
207,4,2021,305816.1
24,1,2021,98021.79
24,2,2021,81177.0
24,3,2021,92297.44
24,4,2021,74325.02
135,1,2021,420297.44
135,2,2021,400541.15
135,3,2021,420000.65
135,4,2021,377517.04
231,1,2021,76860.87
231,2,2021,69175.94
231,3,2021,62692.72
231,4,2021,73484.08
143,1,2021,253723.73
143,2,2021,232341.0
143,3,2021,239053.75
143,4,2021,222410.02
43,1,2021,66337.83
43,2,2021,57446.05
43,3,2021,64393.18
43,4,2021,54061.5
157,1,2021,241725.33
157,2,2021,213149.57
157,3,2021,247537.72
157,4,2021,241580.07
181,1,2021,152200.99
181,2,2021,138065.8
181,3,2021,156112.94
181,4,2021,141441.37
258,1,2021,498637.97
258,2,2021,453697.65
258,3,2021,487337.62
258,4,2021,449084.98
40,1,2021,166264.47
40,2,2021,149757.94
40,3,2021,167413.1
40,4,2021,155564.99
70,1,2021,145317.76
70,2,2021,145814.25
70,3,2021,134332.35
70,4,2021,134828.83
246,1,2021,153044.31
246,2,2021,140614.02
246,3,2021,150977.44
246,4,2021,107029.92
283,1,2021,304207.87
283,2,2021,281020.54
283,3,2021,249255.24
283,4,2021,258887.98
20,1,2021,32434.56
20,2,2021,34350.08
20,3,2021,29412.96
20,4,2021,24212.27
2,1,2021,71140.93
2,2,2021,65117.19
2,3,2021,53842.97
2,4,2021,70523.99
133,1,2021,156900.12
133,2,2021,107687.58
133,3,2021,121322.71
133,4,2021,132654.53
256,1,2021,453139.22
256,2,2021,394798.91
256,3,2021,350799.2
256,4,2021,442138.86
8,1,2021,701679.05
8,2,2021,644565.88
8,3,2021,704409.32
8,4,2021,664395.07
172,1,2021,98650.38
172,2,2021,81011.59
172,3,2021,95573.27
172,4,2021,103163.72
44,1,2021,198541.7
44,2,2021,173583.09
44,3,2021,190072.01
44,4,2021,199361.12
93,1,2021,84488.52
